timestamp_utc_minus_5,open,high,low,close,volume
2014-02-16 17:00,1.67667,1.67680,1.67581,1.67615,0
2014-02-16 17:15,1.67610,1.67616,1.67565,1.67581,0
2014-02-16 17:30,1.67582,1.67600,1.67541,1.67567,0
2014-02-16 17:45,1.67568,1.67590,1.67557,1.67577,0
2014-02-16 18:00,1.67575,1.67576,1.67543,1.67551,0
2014-02-16 18:15,1.67550,1.67551,1.67460,1.67520,0
2014-02-16 18:30,1.67521,1.67550,1.67514,1.67537,0
2014-02-16 18:45,1.67533,1.67619,1.67533,1.67618,0
2014-02-16 19:00,1.67619,1.67655,1.67481,1.67492,0
2014-02-16 19:15,1.67491,1.67603,1.67491,1.67551,0
2014-02-16 19:30,1.67550,1.67590,1.67495,1.67585,0
2014-02-16 19:45,1.67587,1.67600,1.67560,1.67583,0
2014-02-16 20:00,1.67579,1.67768,1.67579,1.67748,0
2014-02-16 20:15,1.67749,1.67899,1.67705,1.67883,0
2014-02-16 20:30,1.67881,1.67929,1.67870,1.67898,0
2014-02-16 20:45,1.67899,1.68194,1.67861,1.68142,0
2014-02-16 21:00,1.68139,1.68214,1.68055,1.68079,0
2014-02-16 21:15,1.68080,1.68080,1.68040,1.68056,0
2014-02-16 21:30,1.68058,1.68058,1.67955,1.67994,0
2014-02-16 21:45,1.67992,1.68009,1.67981,1.67992,0
2014-02-16 22:00,1.67991,1.68052,1.67986,1.68010,0
2014-02-16 22:15,1.68009,1.68020,1.67930,1.67960,0
2014-02-16 22:30,1.67959,1.67968,1.67870,1.67911,0
2014-02-16 22:45,1.67915,1.67921,1.67892,1.67896,0
2014-02-16 23:00,1.67897,1.67910,1.67847,1.67848,0
2014-02-16 23:15,1.67849,1.67881,1.67847,1.67877,0
2014-02-16 23:30,1.67879,1.67919,1.67865,1.67914,0
2014-02-16 23:45,1.67915,1.67929,1.67851,1.67856,0
2014-02-17 00:00,1.67859,1.67900,1.67856,1.67889,0
2014-02-17 00:15,1.67888,1.67896,1.67883,1.67892,0
2014-02-17 00:30,1.67891,1.67896,1.67858,1.67859,0
2014-02-17 00:45,1.67858,1.67880,1.67841,1.67843,0
2014-02-17 01:00,1.67842,1.67888,1.67842,1.67876,0
2014-02-17 01:15,1.67879,1.67946,1.67876,1.67922,0
2014-02-17 01:30,1.67923,1.67946,1.67893,1.67929,0
2014-02-17 01:45,1.67932,1.67939,1.67876,1.67878,0
2014-02-17 02:00,1.67880,1.67882,1.67657,1.67748,0
2014-02-17 02:15,1.67749,1.67827,1.67748,1.67815,0
2014-02-17 02:30,1.67814,1.67824,1.67754,1.67777,0
2014-02-17 02:45,1.67776,1.67809,1.67694,1.67709,0
2014-02-17 03:00,1.67705,1.67845,1.67688,1.67695,0
2014-02-17 03:15,1.67697,1.67769,1.67634,1.67757,0
2014-02-17 03:30,1.67755,1.67791,1.67686,1.67729,0
2014-02-17 03:45,1.67730,1.67745,1.67597,1.67604,0
2014-02-17 04:00,1.67603,1.67741,1.67525,1.67548,0
2014-02-17 04:15,1.67546,1.67549,1.67389,1.67446,0
2014-02-17 04:30,1.67447,1.67457,1.67351,1.67387,0
2014-02-17 04:45,1.67386,1.67388,1.67194,1.67195,0
2014-02-17 05:00,1.67194,1.67409,1.67194,1.67398,0
2014-02-17 05:15,1.67399,1.67420,1.67372,1.67397,0
2014-02-17 05:30,1.67398,1.67456,1.67351,1.67431,0
2014-02-17 05:45,1.67429,1.67439,1.67369,1.67377,0
2014-02-17 06:00,1.67378,1.67413,1.67321,1.67348,0
2014-02-17 06:15,1.67349,1.67358,1.67283,1.67304,0
2014-02-17 06:30,1.67305,1.67327,1.67281,1.67322,0
2014-02-17 06:45,1.67321,1.67321,1.67252,1.67254,0
2014-02-17 07:00,1.67253,1.67307,1.67223,1.67305,0
2014-02-17 07:15,1.67304,1.67305,1.67249,1.67287,0
2014-02-17 07:30,1.67288,1.67288,1.67245,1.67249,0
2014-02-17 07:45,1.67248,1.67257,1.67207,1.67231,0
2014-02-17 08:00,1.67230,1.67285,1.67213,1.67254,0
2014-02-17 08:15,1.67257,1.67257,1.67141,1.67158,0
2014-02-17 08:30,1.67157,1.67271,1.67156,1.67254,0
2014-02-17 08:45,1.67253,1.67272,1.67182,1.67214,0
2014-02-17 09:00,1.67216,1.67227,1.67144,1.67175,0
2014-02-17 09:15,1.67178,1.67185,1.67092,1.67120,0
2014-02-17 09:30,1.67117,1.67209,1.67100,1.67168,0
2014-02-17 09:45,1.67169,1.67195,1.67083,1.67145,0
2014-02-17 10:00,1.67149,1.67254,1.67140,1.67224,0
2014-02-17 10:15,1.67225,1.67293,1.67201,1.67276,0
2014-02-17 10:30,1.67275,1.67298,1.67260,1.67267,0
2014-02-17 10:45,1.67266,1.67281,1.67100,1.67103,0
2014-02-17 11:00,1.67105,1.67133,1.67092,1.67101,0
2014-02-17 11:15,1.67102,1.67139,1.67027,1.67137,0
2014-02-17 11:30,1.67132,1.67145,1.67109,1.67137,0
2014-02-17 11:45,1.67136,1.67136,1.67015,1.67039,0
2014-02-17 12:00,1.67038,1.67056,1.66947,1.66988,0
2014-02-17 12:15,1.66990,1.67045,1.66981,1.67035,0
2014-02-17 12:30,1.67039,1.67051,1.67022,1.67026,0
2014-02-17 12:45,1.67027,1.67039,1.66948,1.66965,0
2014-02-17 13:00,1.66967,1.67066,1.66967,1.67062,0
2014-02-17 13:15,1.67063,1.67080,1.67014,1.67036,0
2014-02-17 13:30,1.67035,1.67046,1.67003,1.67012,0
2014-02-17 13:45,1.67011,1.67052,1.66943,1.66976,0
2014-02-17 14:00,1.66972,1.67051,1.66970,1.67003,0
2014-02-17 14:15,1.67006,1.67028,1.67000,1.67016,0
2014-02-17 14:30,1.67019,1.67029,1.66984,1.66991,0
2014-02-17 14:45,1.66992,1.67018,1.66982,1.67013,0
2014-02-17 15:00,1.67014,1.67030,1.67001,1.67020,0
2014-02-17 15:15,1.67018,1.67071,1.67018,1.67033,0
2014-02-17 15:30,1.67031,1.67086,1.67027,1.67046,0
2014-02-17 15:45,1.67047,1.67120,1.67033,1.67047,0
2014-02-17 16:00,1.67046,1.67111,1.67040,1.67098,0
2014-02-17 16:15,1.67100,1.67141,1.67091,1.67133,0
2014-02-17 16:30,1.67132,1.67137,1.67099,1.67130,0
2014-02-17 16:45,1.67128,1.67138,1.67114,1.67126,0
2014-02-17 17:00,1.67125,1.67131,1.67105,1.67120,0
2014-02-17 17:15,1.67125,1.67131,1.67104,1.67125,0
2014-02-17 17:30,1.67124,1.67131,1.67116,1.67125,0
2014-02-17 17:45,1.67126,1.67129,1.67117,1.67117,0
2014-02-17 18:00,1.67119,1.67199,1.67119,1.67183,0
2014-02-17 18:15,1.67181,1.67198,1.67139,1.67145,0
2014-02-17 18:30,1.67146,1.67218,1.67142,1.67186,0
2014-02-17 18:45,1.67189,1.67210,1.67170,1.67173,0
2014-02-17 19:00,1.67174,1.67198,1.67142,1.67171,0
2014-02-17 19:15,1.67172,1.67196,1.67147,1.67174,0
2014-02-17 19:30,1.67172,1.67222,1.67133,1.67175,0
2014-02-17 19:45,1.67177,1.67190,1.67145,1.67161,0
2014-02-17 20:00,1.67162,1.67188,1.67139,1.67139,0
2014-02-17 20:15,1.67140,1.67140,1.67085,1.67089,0
2014-02-17 20:30,1.67088,1.67147,1.67085,1.67141,0
2014-02-17 20:45,1.67143,1.67184,1.67120,1.67180,0
2014-02-17 21:00,1.67185,1.67195,1.67152,1.67183,0
2014-02-17 21:15,1.67182,1.67196,1.67164,1.67173,0
2014-02-17 21:30,1.67171,1.67258,1.67162,1.67253,0
2014-02-17 21:45,1.67258,1.67286,1.67215,1.67280,0
2014-02-17 22:00,1.67281,1.67290,1.67241,1.67242,0
2014-02-17 22:15,1.67246,1.67280,1.67240,1.67240,0
2014-02-17 22:30,1.67239,1.67333,1.67209,1.67209,0
2014-02-17 22:45,1.67212,1.67332,1.67194,1.67279,0
2014-02-17 23:00,1.67278,1.67285,1.67208,1.67261,0
2014-02-17 23:15,1.67265,1.67287,1.67210,1.67247,0
2014-02-17 23:30,1.67249,1.67318,1.67247,1.67307,0
2014-02-17 23:45,1.67305,1.67319,1.67300,1.67319,0
2014-02-18 00:00,1.67318,1.67326,1.67240,1.67298,0
2014-02-18 00:15,1.67299,1.67299,1.67219,1.67235,0
2014-02-18 00:30,1.67232,1.67267,1.67217,1.67220,0
2014-02-18 00:45,1.67222,1.67324,1.67212,1.67307,0
2014-02-18 01:00,1.67309,1.67401,1.67258,1.67341,0
2014-02-18 01:15,1.67340,1.67367,1.67300,1.67312,0
2014-02-18 01:30,1.67311,1.67357,1.67265,1.67269,0
2014-02-18 01:45,1.67271,1.67299,1.67220,1.67275,0
2014-02-18 02:00,1.67276,1.67279,1.67214,1.67263,0
2014-02-18 02:15,1.67257,1.67281,1.67222,1.67278,0
2014-02-18 02:30,1.67279,1.67327,1.67234,1.67262,0
2014-02-18 02:45,1.67259,1.67268,1.67138,1.67153,0
2014-02-18 03:00,1.67160,1.67181,1.66955,1.66970,0
2014-02-18 03:15,1.66973,1.66993,1.66889,1.66928,0
2014-02-18 03:30,1.66926,1.66926,1.66825,1.66900,0
2014-02-18 03:45,1.66901,1.66905,1.66804,1.66820,0
2014-02-18 04:00,1.66818,1.66881,1.66801,1.66828,0
2014-02-18 04:15,1.66830,1.66877,1.66817,1.66838,0
2014-02-18 04:30,1.66832,1.66896,1.66569,1.66658,0
2014-02-18 04:45,1.66657,1.66735,1.66539,1.66678,0
2014-02-18 05:00,1.66681,1.66706,1.66605,1.66694,0
2014-02-18 05:15,1.66692,1.66838,1.66665,1.66811,0
2014-02-18 05:30,1.66813,1.66931,1.66812,1.66931,0
2014-02-18 05:45,1.66928,1.67067,1.66925,1.66993,0
2014-02-18 06:00,1.66996,1.67011,1.66960,1.66995,0
2014-02-18 06:15,1.66994,1.67066,1.66984,1.67019,0
2014-02-18 06:30,1.67018,1.67052,1.66952,1.66971,0
