session_day,class,first_qualifying_excursion_pips,side,minute_of_day
2014-08-14,NEITHER,,0,
2014-08-15,NEITHER,,0,
2014-08-18,NEITHER,,0,
2014-08-19,SA,54.400000000001114,-1,270.0
2014-08-20,SA,27.200000000000557,1,285.0
2014-08-21,NEITHER,,0,
2014-08-22,NEITHER,,0,
2014-08-25,NEITHER,,0,
2014-08-26,SA,27.599999999998737,-1,1005.0
2014-08-27,SA,27.300000000001212,1,525.0
2014-08-28,NEITHER,,0,
2014-08-29,NEITHER,,0,
2014-09-01,NEITHER,,0,
2014-09-02,SA,26.200000000000667,-1,285.0
2014-09-03,NEITHER,,0,
2014-09-04,SA,44.899999999998826,-1,480.0
2014-09-05,NEITHER,,0,
2014-09-08,SA,40.000000000000036,-1,315.0
2014-09-09,NEITHER,,0,
2014-09-10,SA,38.09999999999869,-1,285.0
2014-09-11,SA,31.70000000000117,1,315.0
2014-09-12,NEITHER,,0,
2014-09-15,NEITHER,,0,
2014-09-16,SW,52.799999999999514,1,735.0
2014-09-17,SA,25.700000000001832,1,480.0
2014-09-18,SA,44.39999999999999,1,495.0
2014-09-19,SA,30.49999999999997,-1,270.0
2014-09-22,NEITHER,,0,
2014-09-23,SA,27.800000000000047,-1,225.0
2014-09-24,SA,26.200000000000667,-1,600.0
2014-09-25,NEITHER,,0,
2014-09-26,SA,30.09999999999957,-1,615.0
2014-09-29,NEITHER,,0,
2014-09-30,SA,27.500000000000302,-1,345.0
2014-10-01,NEITHER,,0,
2014-10-02,SA,42.60000000000152,-1,375.0
2014-10-03,SA,30.000000000001137,-1,270.0
2014-10-06,SW,25.399999999999867,1,690.0
2014-10-07,NEITHER,,0,
2014-10-08,SW,49.79999999999984,1,840.0
2014-10-09,SW,29.999999999998916,-1,705.0
2014-10-10,SA,39.59999999999963,-1,240.0
2014-10-13,SA,30.300000000000882,-1,645.0
2014-10-14,SA,34.600000000000186,-1,255.0
2014-10-15,SA,42.40000000000021,1,510.0
2014-10-16,SA,28.200000000000447,1,630.0
2014-10-17,SA,25.800000000000267,1,435.0
2014-10-20,SA,25.900000000000922,1,360.0
2014-10-21,SA,26.900000000000812,-1,690.0
2014-10-22,SA,34.50000000000175,-1,210.0
2014-10-23,SA,31.30000000000077,-1,285.0
2014-10-24,SA,35.60000000000007,1,585.0
