timestamp_utc_minus_5,open,high,low,close,volume
2015-10-04 17:00,1.51900,1.51917,1.51874,1.51901,0
2015-10-04 17:15,1.51902,1.51905,1.51865,1.51875,0
2015-10-04 17:30,1.51874,1.51904,1.51852,1.51904,0
2015-10-04 17:45,1.51904,1.51904,1.51722,1.51724,0
2015-10-04 18:00,1.51722,1.51764,1.51674,1.51700,0
2015-10-04 18:15,1.51701,1.51784,1.51681,1.51764,0
2015-10-04 18:30,1.51767,1.51876,1.51764,1.51869,0
2015-10-04 18:45,1.51865,1.51881,1.51831,1.51832,0
2015-10-04 19:00,1.51835,1.51855,1.51820,1.51854,0
2015-10-04 19:15,1.51854,1.51896,1.51839,1.51839,0
2015-10-04 19:30,1.51839,1.51877,1.51818,1.51874,0
2015-10-04 19:45,1.51878,1.51927,1.51850,1.51850,0
2015-10-04 20:00,1.51850,1.51944,1.51850,1.51936,0
2015-10-04 20:15,1.51937,1.51965,1.51935,1.51943,0
2015-10-04 20:30,1.51942,1.51970,1.51904,1.51965,0
2015-10-04 20:45,1.51964,1.51994,1.51949,1.51984,0
2015-10-04 21:00,1.51985,1.52032,1.51982,1.52010,0
2015-10-04 21:15,1.52010,1.52059,1.52008,1.52016,0
2015-10-04 21:30,1.52018,1.52092,1.52003,1.52087,0
2015-10-04 21:45,1.52086,1.52162,1.52083,1.52157,0
2015-10-04 22:00,1.52156,1.52181,1.52133,1.52137,0
2015-10-04 22:15,1.52135,1.52151,1.52093,1.52141,0
2015-10-04 22:30,1.52141,1.52151,1.52130,1.52148,0
2015-10-04 22:45,1.52145,1.52180,1.52139,1.52170,0
2015-10-04 23:00,1.52170,1.52174,1.52131,1.52154,0
2015-10-04 23:15,1.52154,1.52184,1.52149,1.52170,0
2015-10-04 23:30,1.52170,1.52172,1.52140,1.52141,0
2015-10-04 23:45,1.52138,1.52143,1.52119,1.52133,0
2015-10-05 00:00,1.52132,1.52137,1.52090,1.52092,0
2015-10-05 00:15,1.52093,1.52102,1.52060,1.52086,0
2015-10-05 00:30,1.52086,1.52103,1.52084,1.52089,0
2015-10-05 00:45,1.52089,1.52129,1.52084,1.52127,0
2015-10-05 01:00,1.52127,1.52133,1.52099,1.52106,0
2015-10-05 01:15,1.52106,1.52134,1.52099,1.52130,0
2015-10-05 01:30,1.52131,1.52132,1.52096,1.52099,0
2015-10-05 01:45,1.52100,1.52118,1.52091,1.52110,0
2015-10-05 02:00,1.52107,1.52132,1.52057,1.52130,0
2015-10-05 02:15,1.52128,1.52151,1.52100,1.52124,0
2015-10-05 02:30,1.52123,1.52146,1.52082,1.52101,0
2015-10-05 02:45,1.52101,1.52229,1.52075,1.52156,0
2015-10-05 03:00,1.52156,1.52234,1.52113,1.52189,0
2015-10-05 03:15,1.52186,1.52283,1.52168,1.52216,0
2015-10-05 03:30,1.52216,1.52271,1.52205,1.52267,0
2015-10-05 03:45,1.52264,1.52445,1.52264,1.52329,0
2015-10-05 04:00,1.52330,1.52393,1.52286,1.52304,0
2015-10-05 04:15,1.52302,1.52311,1.52165,1.52221,0
2015-10-05 04:30,1.52147,1.52187,1.51724,1.51833,0
2015-10-05 04:45,1.51837,1.51914,1.51803,1.51895,0
2015-10-05 05:00,1.51894,1.52009,1.51892,1.52009,0
2015-10-05 05:15,1.52011,1.52025,1.51935,1.51997,0
2015-10-05 05:30,1.51995,1.52139,1.51943,1.52117,0
2015-10-05 05:45,1.52115,1.52131,1.52046,1.52062,0
2015-10-05 06:00,1.52064,1.52147,1.51991,1.51993,0
2015-10-05 06:15,1.51992,1.52015,1.51953,1.51983,0
2015-10-05 06:30,1.51983,1.52015,1.51880,1.51905,0
2015-10-05 06:45,1.51906,1.51935,1.51836,1.51905,0
2015-10-05 07:00,1.51908,1.51908,1.51833,1.51855,0
2015-10-05 07:15,1.51853,1.51944,1.51812,1.51917,0
2015-10-05 07:30,1.51916,1.51955,1.51853,1.51867,0
2015-10-05 07:45,1.51870,1.51928,1.51802,1.51814,0
2015-10-05 08:00,1.51816,1.51852,1.51756,1.51781,0
2015-10-05 08:15,1.51782,1.51861,1.51756,1.51845,0
2015-10-05 08:30,1.51843,1.51880,1.51779,1.51795,0
2015-10-05 08:45,1.51795,1.51807,1.51644,1.51696,0
2015-10-05 09:00,1.51697,1.51789,1.51655,1.51732,0
2015-10-05 09:15,1.51731,1.51745,1.51604,1.51708,0
2015-10-05 09:30,1.51710,1.51772,1.51677,1.51722,0
2015-10-05 09:45,1.51722,1.51756,1.51691,1.51697,0
2015-10-05 10:00,1.51687,1.51769,1.51687,1.51706,0
2015-10-05 10:15,1.51707,1.51797,1.51698,1.51793,0
2015-10-05 10:30,1.51794,1.51852,1.51761,1.51776,0
2015-10-05 10:45,1.51778,1.51808,1.51647,1.51786,0
2015-10-05 11:00,1.51785,1.51811,1.51746,1.51787,0
2015-10-05 11:15,1.51785,1.51804,1.51672,1.51715,0
2015-10-05 11:30,1.51717,1.51824,1.51708,1.51762,0
2015-10-05 11:45,1.51771,1.51799,1.51646,1.51646,0
2015-10-05 12:00,1.51646,1.51647,1.51546,1.51575,0
2015-10-05 12:15,1.51575,1.51578,1.51425,1.51462,0
2015-10-05 12:30,1.51462,1.51467,1.51400,1.51432,0
2015-10-05 12:45,1.51430,1.51548,1.51414,1.51546,0
2015-10-05 13:00,1.51547,1.51568,1.51446,1.51494,0
2015-10-05 13:15,1.51493,1.51596,1.51480,1.51594,0
2015-10-05 13:30,1.51591,1.51591,1.51514,1.51557,0
2015-10-05 13:45,1.51559,1.51611,1.51551,1.51588,0
2015-10-05 14:00,1.51589,1.51613,1.51504,1.51504,0
2015-10-05 14:15,1.51513,1.51525,1.51485,1.51486,0
2015-10-05 14:30,1.51493,1.51510,1.51454,1.51464,0
2015-10-05 14:45,1.51463,1.51557,1.51458,1.51541,0
2015-10-05 15:00,1.51540,1.51555,1.51471,1.51484,0
2015-10-05 15:15,1.51484,1.51584,1.51483,1.51583,0
2015-10-05 15:30,1.51583,1.51583,1.51507,1.51519,0
2015-10-05 15:45,1.51522,1.51540,1.51494,1.51515,0
2015-10-05 16:00,1.51514,1.51520,1.51482,1.51496,0
2015-10-05 16:15,1.51494,1.51497,1.51368,1.51432,0
2015-10-05 16:30,1.51431,1.51458,1.51400,1.51433,0
2015-10-05 16:45,1.51432,1.51465,1.51419,1.51448,0
2015-10-05 17:00,1.51442,1.51455,1.51412,1.51447,0
2015-10-05 17:15,1.51448,1.51491,1.51422,1.51422,0
2015-10-05 17:30,1.51422,1.51471,1.51417,1.51456,0
2015-10-05 17:45,1.51458,1.51484,1.51423,1.51484,0
2015-10-05 18:00,1.51483,1.51497,1.51454,1.51468,0
2015-10-05 18:15,1.51467,1.51484,1.51459,1.51481,0
2015-10-05 18:30,1.51480,1.51493,1.51453,1.51463,0
2015-10-05 18:45,1.51463,1.51469,1.51447,1.51459,0
2015-10-05 19:00,1.51459,1.51474,1.51457,1.51474,0
2015-10-05 19:15,1.51468,1.51501,1.51467,1.51493,0
2015-10-05 19:30,1.51493,1.51550,1.51491,1.51535,0
2015-10-05 19:45,1.51535,1.51536,1.51517,1.51528,0
2015-10-05 20:00,1.51525,1.51525,1.51481,1.51485,0
2015-10-05 20:15,1.51487,1.51516,1.51465,1.51497,0
2015-10-05 20:30,1.51487,1.51493,1.51455,1.51459,0
2015-10-05 20:45,1.51458,1.51511,1.51441,1.51455,0
2015-10-05 21:00,1.51457,1.51470,1.51400,1.51406,0
2015-10-05 21:15,1.51412,1.51442,1.51412,1.51424,0
2015-10-05 21:30,1.51424,1.51497,1.51415,1.51489,0
2015-10-05 21:45,1.51490,1.51589,1.51487,1.51588,0
2015-10-05 22:00,1.51586,1.51666,1.51565,1.51609,0
2015-10-05 22:15,1.51608,1.51648,1.51606,1.51647,0
2015-10-05 22:30,1.51647,1.51679,1.51620,1.51620,0
2015-10-05 22:45,1.51621,1.51624,1.51596,1.51604,0
2015-10-05 23:00,1.51609,1.51609,1.51585,1.51596,0
2015-10-05 23:15,1.51596,1.51606,1.51588,1.51599,0
2015-10-05 23:30,1.51599,1.51643,1.51589,1.51622,0
2015-10-05 23:45,1.51622,1.51660,1.51613,1.51634,0
2015-10-06 00:00,1.51633,1.51633,1.51609,1.51629,0
2015-10-06 00:15,1.51629,1.51638,1.51624,1.51632,0
2015-10-06 00:30,1.51631,1.51639,1.51599,1.51629,0
2015-10-06 00:45,1.51629,1.51629,1.51587,1.51620,0
2015-10-06 01:00,1.51619,1.51623,1.51612,1.51623,0
2015-10-06 01:15,1.51621,1.51623,1.51581,1.51586,0
2015-10-06 01:30,1.51587,1.51604,1.51578,1.51586,0
2015-10-06 01:45,1.51587,1.51658,1.51587,1.51618,0
2015-10-06 02:00,1.51616,1.51624,1.51578,1.51607,0
2015-10-06 02:15,1.51609,1.51638,1.51523,1.51572,0
2015-10-06 02:30,1.51573,1.51575,1.51461,1.51497,0
2015-10-06 02:45,1.51498,1.51512,1.51441,1.51445,0
2015-10-06 03:00,1.51452,1.51527,1.51400,1.51527,0
2015-10-06 03:15,1.51528,1.51585,1.51476,1.51572,0
2015-10-06 03:30,1.51571,1.51637,1.51536,1.51568,0
2015-10-06 03:45,1.51569,1.51627,1.51470,1.51522,0
2015-10-06 04:00,1.51521,1.51619,1.51472,1.51558,0
2015-10-06 04:15,1.51558,1.51603,1.51544,1.51572,0
2015-10-06 04:30,1.51573,1.51621,1.51548,1.51618,0
2015-10-06 04:45,1.51619,1.51720,1.51602,1.51705,0
2015-10-06 05:00,1.51704,1.51738,1.51640,1.51716,0
2015-10-06 05:15,1.51717,1.51802,1.51646,1.51760,0
2015-10-06 05:30,1.51761,1.51797,1.51728,1.51735,0
2015-10-06 05:45,1.51734,1.51756,1.51672,1.51674,0
2015-10-06 06:00,1.51675,1.51706,1.51614,1.51667,0
2015-10-06 06:15,1.51666,1.51707,1.51630,1.51646,0
2015-10-06 06:30,1.51644,1.51678,1.51628,1.51630,0
2015-10-06 06:45,1.51630,1.51668,1.51597,1.51624,0
2015-10-06 07:00,1.51624,1.51699,1.51615,1.51645,0
2015-10-06 07:15,1.51644,1.51675,1.51595,1.51621,0
2015-10-06 07:30,1.51620,1.51661,1.51609,1.51660,0
2015-10-06 07:45,1.51659,1.51754,1.51656,1.51704,0
2015-10-06 08:00,1.51706,1.51765,1.51675,1.51714,0
2015-10-06 08:15,1.51712,1.51745,1.51672,1.51721,0
2015-10-06 08:30,1.51722,1.51741,1.51651,1.51720,0
2015-10-06 08:45,1.51720,1.51760,1.51684,1.51742,0
2015-10-06 09:00,1.51741,1.51825,1.51727,1.51819,0
2015-10-06 09:15,1.51819,1.51875,1.51766,1.51850,0
2015-10-06 09:30,1.51850,1.51972,1.51842,1.51955,0
2015-10-06 09:45,1.51955,1.51972,1.51857,1.51934,0
2015-10-06 10:00,1.51935,1.52045,1.51932,1.52023,0
2015-10-06 10:15,1.52024,1.52108,1.51951,1.51995,0
2015-10-06 10:30,1.51994,1.52114,1.51985,1.52072,0
2015-10-06 10:45,1.52070,1.52132,1.52031,1.52123,0
2015-10-06 11:00,1.52122,1.52255,1.52080,1.52208,0
2015-10-06 11:15,1.52220,1.52342,1.52178,1.52275,0
2015-10-06 11:30,1.52280,1.52295,1.52225,1.52231,0
2015-10-06 11:45,1.52232,1.52268,1.52176,1.52261,0
2015-10-06 12:00,1.52260,1.52261,1.52175,1.52227,0
2015-10-06 12:15,1.52227,1.52309,1.52221,1.52306,0
2015-10-06 12:30,1.52304,1.52335,1.52277,1.52333,0
2015-10-06 12:45,1.52333,1.52333,1.52248,1.52258,0
2015-10-06 13:00,1.52257,1.52264,1.52210,1.52229,0
2015-10-06 13:15,1.52229,1.52243,1.52196,1.52229,0
2015-10-06 13:30,1.52229,1.52229,1.52195,1.52214,0
2015-10-06 13:45,1.52215,1.52281,1.52206,1.52249,0
2015-10-06 14:00,1.52249,1.52257,1.52207,1.52208,0
2015-10-06 14:15,1.52208,1.52317,1.52207,1.52310,0
2015-10-06 14:30,1.52307,1.52331,1.52286,1.52317,0
2015-10-06 14:45,1.52315,1.52320,1.52277,1.52309,0
2015-10-06 15:00,1.52307,1.52331,1.52289,1.52296,0
2015-10-06 15:15,1.52295,1.52345,1.52280,1.52338,0
2015-10-06 15:30,1.52339,1.52391,1.52318,1.52388,0
2015-10-06 15:45,1.52387,1.52429,1.52377,1.52427,0
2015-10-06 16:00,1.52425,1.52426,1.52334,1.52347,0
2015-10-06 16:15,1.52347,1.52359,1.52321,1.52328,0
2015-10-06 16:30,1.52327,1.52334,1.52314,1.52328,0
2015-10-06 16:45,1.52330,1.52341,1.52232,1.52232,0
2015-10-06 17:00,1.52235,1.52322,1.52235,1.52293,0
2015-10-06 17:15,1.52293,1.52306,1.52286,1.52286,0
2015-10-06 17:30,1.52286,1.52323,1.52183,1.52283,0
2015-10-06 17:45,1.52281,1.52336,1.52277,1.52320,0
2015-10-06 18:00,1.52332,1.52336,1.52283,1.52303,0
2015-10-06 18:15,1.52303,1.52304,1.52295,1.52300,0
2015-10-06 18:30,1.52300,1.52339,1.52299,1.52311,0
2015-10-06 18:45,1.52311,1.52321,1.52297,1.52300,0
2015-10-06 19:00,1.52300,1.52304,1.52281,1.52289,0
2015-10-06 19:15,1.52289,1.52292,1.52242,1.52266,0
2015-10-06 19:30,1.52267,1.52279,1.52260,1.52265,0
2015-10-06 19:45,1.52260,1.52266,1.52234,1.52255,0
2015-10-06 20:00,1.52257,1.52310,1.52257,1.52306,0
2015-10-06 20:15,1.52307,1.52316,1.52273,1.52286,0
2015-10-06 20:30,1.52289,1.52307,1.52283,1.52307,0
2015-10-06 20:45,1.52307,1.52307,1.52241,1.52283,0
2015-10-06 21:00,1.52279,1.52311,1.52278,1.52308,0
2015-10-06 21:15,1.52307,1.52346,1.52305,1.52325,0
2015-10-06 21:30,1.52325,1.52371,1.52317,1.52356,0
2015-10-06 21:45,1.52356,1.52373,1.52340,1.52368,0
2015-10-06 22:00,1.52369,1.52380,1.52333,1.52340,0
2015-10-06 22:15,1.52341,1.52357,1.52324,1.52326,0
2015-10-06 22:30,1.52329,1.52343,1.52316,1.52342,0
2015-10-06 22:45,1.52343,1.52376,1.52342,1.52357,0
2015-10-06 23:00,1.52357,1.52509,1.52357,1.52449,0
2015-10-06 23:15,1.52451,1.52479,1.52414,1.52434,0
2015-10-06 23:30,1.52435,1.52541,1.52435,1.52510,0
2015-10-06 23:45,1.52510,1.52573,1.52505,1.52555,0
2015-10-07 00:00,1.52557,1.52559,1.52453,1.52470,0
2015-10-07 00:15,1.52471,1.52494,1.52458,1.52479,0
2015-10-07 00:30,1.52479,1.52514,1.52472,1.52479,0
2015-10-07 00:45,1.52479,1.52487,1.52431,1.52439,0
2015-10-07 01:00,1.52439,1.52444,1.52404,1.52414,0
2015-10-07 01:15,1.52413,1.52444,1.52404,1.52439,0
2015-10-07 01:30,1.52439,1.52474,1.52439,1.52470,0
2015-10-07 01:45,1.52476,1.52521,1.52473,1.52507,0
2015-10-07 02:00,1.52508,1.52516,1.52448,1.52506,0
